cell_id,dist_to_water
869,130.78319550997048
870,214.60248587443024
871,357.2179846859606
872,424.64282337844355
873,117.99285454482352
874,294.8293687822959
875,718.6123994829899
876,1131.6611284128894
877,1787.2823309976545
878,1676.4930776547783
879,1392.8145522057239
880,1207.2941936151044
881,1167.6169893256365
882,1283.6367970159315
883,1522.5705745947532
884,1837.6261519521302
885,2010.004576161953
886,1755.336902465786
887,1318.3472308712946
888,884.5417454403682
889,462.47890253463225
890,182.9574175481039
891,406.7380353669205
892,663.1419041469798
893,332.6648903598744
894,90.04322895157763
895,68.48582737027438
896,365.0473669131756
897,800.6971634845614
898,1239.8008531188098
899,1166.6747153695567
900,1014.1200788984916
901,589.7582885011506
902,235.21088270998447
903,341.0029366776082
904,619.721144372262
905,452.46948483342453
906,348.14063357218237
907,210.4678052271447
908,339.104105423572
909,105.66692981976908
910,503.14289820575766
911,938.6528882005889
912,1101.9679244886875
913,1377.1015293677438
914,1445.1671252077713
915,1132.3060211791067
916,925.0734257988037
917,904.1813652461099
918,1055.0072544082132
919,1329.0448399116403
920,1675.421287797193
921,2058.120935711131
922,1819.2677976299483
923,1484.674482566684
924,1219.4246053018874
925,1062.731829328461
926,1066.6670819185697
927,1238.7013067146697
928,1393.5565596510337
929,1450.515413827977
930,1629.1808439464212
931,1884.8577496036123
932,1557.8240577824522
933,1257.6123329896259
934,1060.469058244438
935,840.9301895554645
936,498.597570695364
937,330.8139132834625
938,447.4138457881742
939,466.57112609862486
940,565.8168421304243
941,296.5442520075816
942,588.4855700925663
943,331.3937961333819
944,343.4817276688457
945,323.44255411284064
946,424.31863293610775
947,115.10539066167983
948,54.327097635215694
949,13.63821514542103
950,212.7283830204277
951,207.40387420127445
952,569.6730844691803
953,510.43228316874223
954,647.1987865476124
955,971.4988366558158
956,1253.071986325615
957,996.6450732206729
958,556.3355176385982
959,117.25793659337793
960,236.5266982535477
961,606.7861062642176
962,593.295405773946
963,324.92874467746856
964,247.21697331225772
965,263.20343193129463
966,139.58917342477883
967,36.253836364409054
968,0.0
969,95.7355922684264
970,402.1608017005596
971,1126.7151577634538
972,1447.4528419451626
973,1350.7907514371461
974,1304.9365480562353
975,1403.2501493589602
976,1619.6891561663267
977,1748.6664901563481
978,1667.3133171074699
979,1630.6909187036758
980,1525.5959951246195
981,1421.567341666511
982,1319.5951078360195
983,910.332297865441
984,505.0678235365832
985,230.1908440868071
986,457.98394251366403
987,850.6400422915381
988,662.3604369946929
989,394.331542953986
990,380.08920358554326
991,521.0952494669122
992,772.2072203615915
993,822.1078691191085
994,683.1549920034529
995,681.7346754949432
996,624.3658247447627
997,278.97848463970905
998,372.7174629013857
999,398.787420811009
1000,0.0
1001,214.89910880746268
1002,525.9170057180119
1003,676.7567586537835
1004,589.1361997014143
1005,770.4465784477361
1006,1108.2598716216817
1007,1499.7114372947822
1008,1624.0115807659752
1009,1201.6537501008816
1010,799.1537893675267
1011,469.0045974682363
1012,418.2032717424733
1013,668.2933669896286
1014,1048.3877074140964
1015,1462.7874947235252
1016,1889.0500804567496
1017,2149.673390302802
1018,1875.011687151905
1019,1672.3539988184634
1020,1554.8001408283085
1021,1557.4934815003235
1022,1679.9923963566312
1023,1823.1815366771796
1024,1698.0334394233948
1025,1542.580228526336
1026,1504.6267304562837
1027,1237.0952370682078
1028,895.1220581244776
1029,678.400375072971
1030,712.2907988141628
1031,945.4664726777676
1032,826.8096844007647
1033,910.2873324697746
1034,717.8776048070739
1035,353.59016144135137
1036,21.28947027687207
1037,348.4425084799878
1038,406.96929033721926
1039,201.48994367305767
1040,66.06085620071646
1041,0.0
1042,61.27894091750244
1043,259.46133683715414
1044,419.78677180812053
1045,0.0
1046,57.45937723151362
1047,104.0644977312669
1048,16.56267420574758
1049,371.902457944317
1050,811.2865858752415
1051,827.1393851206872
1052,643.5761082896983
1053,717.2568422808527
1054,453.6535161767938
1055,505.3297484219692
1056,815.1329795735878
1057,979.6552105698055
1058,800.4577403991219
1059,744.6492569273464
1060,758.1298682043428
1061,602.5428045320748
1062,529.9558364826227
1063,439.4342973743655
1064,120.48150042899734
1065,716.7635069221731
1066,441.7021337301369
1067,489.7260510617564
1068,795.0581063610047
1069,1132.3658894493697
1070,879.9099338027844
1071,807.7549860518337
1072,958.4915684604441
1073,1254.1762021484826
1074,1278.3014597509334
1075,1175.3120631973195
1076,1146.342120416233
1077,1041.18741221289
1078,936.7261896129803
1079,852.8994979651469
1080,820.6743921455176
1081,385.6579983194442
1082,89.03050716076207
1083,322.6765994669401
1084,758.7949079178848
1085,1033.2966127999161
1086,885.7151732332087
1087,875.8967811670668
1088,619.542417827405
1089,292.812146908409
1090,406.5609020610808
1091,250.83632915266006
1092,259.5745100687185
1093,649.344811626136
1094,754.9570051818716
1095,802.9438257713277
1096,551.2294174810847
1097,293.3882646109425
1098,62.31605936085419
