cell_id,lst,ndvi,building_density,road_density,lon,lat
78,46.176748712942526,0.1646419993460406,0.0006473599173265,0.0165601646299825,77.19774999999944,28.43375
79,45.80446668389484,0.1668365117452265,0.0042189161724743,0.0018308234265633,77.20224999999944,28.43375
80,46.76957461331431,0.170741364304386,0.0125001171947764,0.0088529887346537,77.20674999999943,28.43375
81,48.447062395567016,0.1421435179468654,0.0057742982765375,0.0058583231718547,77.21124999999942,28.43375
82,47.943481205959806,0.1313305215790691,0.0,2.54572495956657e-05,77.21574999999942,28.43375
83,47.66195140311875,0.1413905095969312,0.0,0.0,77.22024999999941,28.43375
84,46.086100974018855,0.1025449524194808,0.0003336038985144,0.0479805807403862,77.2247499999994,28.43375
85,45.12936953752256,0.0992333494445307,0.0,0.0418842064668248,77.22924999999941,28.43375
86,44.32286165056976,0.1513408096552938,0.0,0.0064256084339475,77.23374999999939,28.43375
87,44.77350640305219,0.1479370968772477,0.0,0.0,77.2382499999994,28.43375
88,45.319610440933886,0.1454797050551509,0.0,0.0,77.24240653107081,28.43402885756908
89,44.34739289394084,0.1001238339107166,0.2232676742213214,0.0442055907618503,77.14389961289594,28.43899131811476
90,42.81287605251451,0.1784035058807652,0.0289950866225287,0.0137115199002046,77.14833693058252,28.43852414474112
91,42.46011304181457,0.1949587786604932,0.0105913784242477,0.0110242772465984,77.15274999999953,28.438250000000004
92,43.17270785025203,0.1888314750454933,0.0020907017232556,0.0084582553078,77.15724999999952,28.438250000000004
93,40.74189271000203,0.2181912905976371,0.0,0.0040114289588467,77.16174999999951,28.438250000000004
94,41.925097374997605,0.2088248340667021,0.0,0.0095501531132729,77.1662499999995,28.438250000000004
95,43.2351707914412,0.1856223243227552,0.0,0.0182226213376257,77.1707499999995,28.438250000000004
96,44.62737200529857,0.1214342545774701,0.0,0.0316968240889328,77.1752499999995,28.438250000000004
97,45.670978083487455,0.1405410061554823,0.0,0.0114006756488322,77.17974999999947,28.438250000000004
98,44.74375745080894,0.1631748319271945,0.0,0.0027862167706237,77.18424999999947,28.438250000000004
99,44.16103904257193,0.1786227094018455,0.0079962245645225,0.014697830451034,77.18874999999946,28.438250000000004
100,45.00967072732654,0.1617914871852961,0.0056731247912443,0.0103703062506114,77.19324999999945,28.438250000000004
101,45.90492059327309,0.1530708599214006,0.0745554075415619,0.0059583193405461,77.19774999999944,28.438250000000004
102,46.69591362112049,0.1495019928022702,0.0761756467873027,0.0052086761107281,77.20224999999944,28.438250000000004
103,48.28951139635171,0.1483701689816242,0.0046531511806635,0.0059206583973177,77.20674999999943,28.438250000000004
104,49.76886189120072,0.137612345350786,0.0,0.0036595217000437,77.21124999999942,28.438250000000004
105,48.09378741963754,0.135125468271634,0.0,0.0015941657012681,77.21574999999942,28.438250000000004
106,47.46418384709302,0.1370932814383805,0.0,0.0,77.22024999999941,28.438250000000004
107,46.2132206860353,0.155850151154878,0.0,0.0,77.2247499999994,28.438250000000004
108,45.99119107707389,0.1400278371889039,0.0,0.0,77.22924999999941,28.438250000000004
109,45.752842547864255,0.1453257829386899,0.0001777411543941,0.0,77.23374999999939,28.438250000000004
110,43.426246222833775,0.1432237294844833,0.0,0.0,77.2382499999994,28.438250000000004
111,45.82771262547656,0.1283537438058837,0.0,0.0,77.24274999999938,28.438250000000004
112,47.1105558328601,0.161822904066092,0.0,0.0147563202102394,77.13043623184875,28.442937640455895
113,44.925519810516384,0.1951558984520325,0.0004298278759576,0.0271527212099354,77.13474999999956,28.44275
114,43.24473619625753,0.2066619171800302,0.0054418455005285,0.0156839979236742,77.13924999999956,28.44275
115,44.38213364077093,0.1452446187244664,0.075518417648514,0.0302481776181137,77.14374999999954,28.44275
116,42.535706903833606,0.1890301521267567,0.0275702318984795,0.0135856861959184,77.1482499999995,28.44275
117,45.04190798606726,0.1763129641946939,0.0086236594236261,0.0011161073527176,77.15274999999953,28.44275
118,44.66459694866088,0.176841527107519,0.0,0.0047768308766285,77.15724999999952,28.44275
119,44.63914903814699,0.1840927369832212,0.0,0.0,77.16174999999951,28.44275
120,42.351847093714206,0.1988526529296048,0.0,0.0186900527539,77.1662499999995,28.44275
121,42.60297853821272,0.1863246417825526,0.0068884194056437,0.0158820211088985,77.1707499999995,28.44275
122,44.78910333590765,0.1690278805088464,0.0058597287958102,0.0087043886663906,77.1752499999995,28.44275
123,44.849394839137794,0.1496027537225402,0.0083360592244899,0.0081198814767262,77.17974999999947,28.44275
124,46.66830231882867,0.1370525123152243,0.0147861681744168,0.0004198365496051,77.18424999999947,28.44275
125,45.42723914212083,0.1640093607586441,0.0041301415745883,0.0142642777425446,77.18874999999946,28.44275
126,45.017506184577925,0.1670066495896888,0.0037047960224675,0.009320762299152,77.19324999999945,28.44275
127,47.92035028449192,0.1094797660508418,0.4464235060548112,0.0,77.19774999999944,28.44275
128,48.5314404515313,0.1333893131539008,0.3111371653744286,0.0029928741547203,77.20224999999944,28.44275
129,47.05406964033374,0.1569291497114395,0.0059943931119898,0.0136519411041459,77.20674999999943,28.44275
130,46.87474038338628,0.1939824500965649,0.0,0.0080779806729114,77.21124999999942,28.44275
131,47.29928528693772,0.1630720812091103,0.0,0.0032043702193972,77.21574999999942,28.44275
