cell_id,lst_night,lst_day_modis
480,25.07793650793654,41.754000000000026
481,25.21000000000003,41.91400000000003
482,25.60570967741938,41.82606451612906
483,25.732000000000028,41.79800000000002
484,25.687526881720455,41.652451612903256
485,25.673333333333357,41.60600000000003
486,27.49016129032262,41.31338709677422
487,28.07000000000005,41.22000000000003
488,25.850952380952418,41.26266666666669
489,25.157500000000034,41.276000000000025
490,25.32397222222226,41.73822222222225
491,25.88000000000003,42.57200000000004
492,26.177111111111145,42.75866666666669
493,26.262000000000036,42.812000000000026
494,26.520222222222255,42.746666666666705
495,26.59400000000003,42.72800000000004
496,26.57377777777781,42.45422222222225
497,26.56800000000003,42.376000000000026
498,26.19638709677423,41.89445161290326
499,25.534444444444464,42.77400000000003
500,22.821499118165814,43.01565079365081
501,21.650000000000034,43.120000000000026
502,21.25888888888892,42.96495238095241
503,21.090000000000032,42.89800000000004
504,21.31349206349209,42.39653968253972
505,21.410000000000025,42.180000000000035
506,23.888515625000043,41.57390625000003
507,24.935000000000045,41.318000000000026
508,24.43301587301591,40.97228571428574
509,24.23222222222226,40.834000000000024
510,24.30063492063496,40.93685714285718
511,24.328000000000042,40.97800000000004
512,24.360857142857178,41.25657142857146
513,24.37400000000003,41.36800000000003
514,24.596333333333362,41.40106250000003
515,24.683333333333355,41.41400000000003
516,24.21672713529859,41.17888888888891
517,24.044285714285746,41.09200000000003
518,24.4792517006803,40.80139682539684
519,24.640000000000033,40.694000000000024
520,24.653142857142893,40.596158730158756
521,24.658000000000037,40.56000000000003
522,24.658000000000037,40.56000000000003
523,24.658000000000037,40.56000000000003
524,24.66993650793654,40.74203174603178
525,24.674000000000035,40.80400000000003
526,24.685936507936542,41.16209523809527
527,24.690000000000033,41.28400000000003
528,25.07793650793654,41.754000000000026
529,25.21000000000003,41.91400000000003
530,25.601500000000026,41.82700000000003
531,25.732000000000028,41.79800000000002
532,25.68730158730161,41.65171428571431
533,25.673333333333357,41.60600000000003
534,27.49936507936512,41.31190476190479
535,28.07000000000005,41.22000000000003
536,25.850952380952418,41.26266666666669
537,25.157500000000034,41.276000000000025
538,25.33397656250004,41.76600000000003
539,25.38800000000004,41.91600000000003
540,25.7706666666667,42.42622222222226
541,25.88000000000003,42.57200000000004
542,26.177111111111145,42.75866666666669
543,26.262000000000036,42.812000000000026
544,26.520222222222255,42.746666666666705
545,26.59400000000003,42.72800000000004
546,26.57368750000003,42.45300000000003
547,26.56800000000003,42.376000000000026
548,26.187047619047654,41.88234920634923
549,26.08800000000004,41.75400000000003
550,18.822000000000024,46.14800000000004
551,19.02788359788363,45.34215873015875
552,19.163333333333373,44.812000000000026
553,,39.38555555555559
554,,40.11833333333337
555,25.798000000000023,42.88800000000003
556,25.249375000000022,42.65562500000003
557,25.00000000000002,42.55000000000003
558,25.00000000000002,43.08498412698416
559,,43.31600000000004
560,20.850000000000023,43.30622222222226
561,20.850000000000023,43.302000000000035
562,22.351587301587326,42.652476190476214
563,23.00000000000003,42.37200000000003
564,22.865161290322604,41.71341935483874
565,22.81000000000002,41.44400000000003
566,23.183214285714318,40.85971428571431
567,23.33250000000004,40.62600000000002
568,24.078766233766263,40.578857142857174
569,24.37727272727275,40.56000000000003
570,24.63181818181821,40.557142857142885
571,24.733636363636393,40.556000000000026
572,25.020000000000028,40.7011612903226
573,25.128181818181847,40.75600000000002
574,25.38155425219944,40.64567741935486
575,25.47727272727276,40.60400000000003
576,25.540995670995702,40.75441269841273
577,25.564545454545485,40.81000000000003
578,25.33089466089469,40.84212698412701
579,25.244545454545484,40.85400000000003
580,25.014140762463374,40.84064516129035
581,24.934000000000026,40.83600000000003
582,25.003741935483898,41.11941935483873
583,25.028000000000027,41.218000000000025
584,25.559174603174636,41.552222222222255
585,25.740000000000038,41.66600000000003
586,26.402476190476225,41.900253968254006
587,26.628000000000032,41.98000000000003
588,26.769000000000027,41.86477419354842
589,26.814000000000032,41.82800000000003
590,25.897921146953433,41.620290322580665
591,25.605555555555586,41.55400000000002
592,25.605555555555586,41.55400000000002
593,25.605555555555586,41.55400000000002
594,25.598275132275162,41.74600000000002
595,25.596000000000032,41.806000000000026
596,25.574666666666698,42.59533333333335
597,25.56800000000003,42.84200000000003
