cell_id,lon,lat,cx,cy,area_m2,lst,ndvi_unmasked_legacy,albedo,ndbi,mndwi,bsi,building_density,road_density
6165,77.16175000048537,28.807250002988354,710970.7370082088,3188549.2431921116,219157.88089126206,46.3365372536841,0.1366502887209423,0.1955135969375913,0.0149631232368706,-0.3439457094798831,0.0812389793591621,0.0,0.0
6166,77.16625000048637,28.80725000298825,711410.0163446256,3188557.2417082633,219158.88450810325,46.44160807857964,0.1322198154259494,0.1941300692281567,0.0192808441165835,-0.3416656026419409,0.0845902496157084,0.0,0.0050615727745462
6167,77.17075000048739,28.807250002988155,711849.2963845494,3188565.256886094,219159.89021734445,45.87167228695093,0.1455108442620067,0.1818423444275202,0.0081662196911756,-0.3581295564520291,0.0704373952990999,0.0,0.0102834376809095
6168,77.17525000048839,28.80725000298806,712288.5771294401,3188573.288725782,219160.89801878776,45.99852067078426,0.1358158964425777,0.1796696419536712,-0.0021031521114728,-0.3326934460735964,0.0664712622196583,0.0,0.0090553396656371
6169,77.17975000048939,28.807250002987963,712727.8585807598,3188581.3372275084,219161.90791232584,45.28119858381362,0.1318343342397469,0.1824179805374261,0.0098330103207044,-0.3198840607519577,0.0730203997106408,0.0,0.0
6170,77.18425000049041,28.807250002987857,713167.1407399693,3188589.402391455,219162.9198982523,43.96699040755912,0.1214008002371792,0.1749405880873162,-0.0108920770087925,-0.2863196998821904,0.0599799317121114,0.0,0.0184493050467765
6171,77.18875000049141,28.80725000298776,713606.4236085288,3188597.4842178025,219163.9339760687,43.28297871487112,0.1347749062329034,0.1609707305896589,-0.0389571911554141,-0.2865248712714401,0.0409886040927766,0.0,0.0108282242942747
6172,77.1932500004924,28.807250002987654,714045.7071879002,3188605.582706732,219164.95014725628,45.49485104409398,0.1043425329315639,0.1636766454454867,0.0019374461832873,-0.2697149855855468,0.0750994025580923,0.0,0.0018541671136038
6173,77.19768999896918,28.807297350083445,714479.0371636578,3188618.837128361,212927.73736078624,47.140500653363205,0.1068863095617397,0.1810903741469428,0.0544092262541035,-0.3411842059873284,0.1079655099934332,0.0,0.0
6174,76.95025000684636,28.81174999654602,690317.1920359554,3188690.806507078,219103.15518792317,49.91215282170069,0.0959364466417218,0.1909956815511978,0.0779545549130957,-0.3480597117807169,0.1355294974338865,0.0,0.0
6175,76.95475000043899,28.811750002991616,690756.420409448,3188698.0235446906,219104.68908683237,49.64077573407479,0.1003663977129526,0.1892916803103204,0.0662887336146632,-0.3459309674391377,0.1257393014358868,0.0,0.0
6176,76.95925000044,28.811750002991516,691195.6500548082,3188705.256533525,219105.59637847473,47.931956573333046,0.121697016958272,0.188050586884531,0.0303160428432197,-0.3422903028950073,0.0949073275103631,0.0,0.0045533800540723
6177,76.96375000044101,28.811750002991413,691634.8803362759,3188712.50617781,219106.5057608633,47.78347984659455,0.1246291121732362,0.1782584618800826,0.0220273612643166,-0.3353181723640775,0.0887954051764447,0.0,0.0009718878637038
6178,76.96825000044201,28.81175000299133,692074.1112553123,3188719.772477709,219107.41723324385,47.48441996467447,0.1161148542380521,0.1735793749815839,0.0300312757638583,-0.3329650945006747,0.0934003262089201,0.0,0.0117243680801126
6179,76.972750000443,28.81175000299125,692513.3428133779,3188727.0554333855,219108.33079736232,48.2506155578356,0.1135044926432126,0.1871123556391394,0.0575167149203016,-0.3545433814949734,0.1131768691762135,0.0,0.007762420637581
6180,76.977250000444,28.811750002991154,692952.5750119347,3188734.355045003,219109.24645107158,48.74026484225191,0.113694792506404,0.1848024547654589,0.0605568600516226,-0.3526024312678404,0.1135423120837737,0.0,0.0016232524834255
6181,76.98175000044502,28.811750002991065,693391.8078524425,3188741.6713127242,219110.16419573512,48.309180276154336,0.1194213260871263,0.1830422591406499,0.0448893234942261,-0.348477266855246,0.1027719134012606,0.0,0.0
6182,76.98625000044602,28.811750002990976,693831.0413363624,3188749.004236716,219111.08403127774,49.41463001667176,0.0977473807514538,0.1783525781819567,0.0877908677613694,-0.3501397516616736,0.1289952559440847,0.0,0.0
6183,76.99075000044702,28.811750002990888,694270.2754651548,3188756.353817142,219112.00595750703,49.34560412482349,0.0927879022301331,0.183878864486068,0.0885635354282299,-0.3443714959058767,0.1345432855382377,0.0,0.0026336409852247
6184,76.99525000044802,28.811750002990784,694709.5102402807,3188763.720054166,219112.9299744515,49.13865825006641,0.1036768274157981,0.1935152386463211,0.0739429709872385,-0.3483744999793575,0.1251242994583323,0.0,0.0007821626798772
6185,76.99975000044904,28.811750002990703,695148.7456632009,3188771.102947956,219113.85608198837,49.21331168348431,0.0992081118441402,0.19141947670013,0.0873176505574155,-0.3503471397428326,0.1318661349516761,0.0,0.0038870996620654
6186,77.00425000045004,28.811750002990614,695587.981735376,3188778.502498677,219114.78428047683,45.21441763059261,0.1300655768243142,0.1683321645554798,0.0021984359321075,-0.3169480465639566,0.0701841354014263,0.0,0.0181245511405414
6187,77.00875000045104,28.811750002990518,696027.218458266,3188785.918706495,219115.7145689805,46.41168793507297,0.0981284811573828,0.1775584183565412,0.0420377839760487,-0.3008514200661327,0.1044102729980552,0.0,0.0228130676537411
6188,77.01325000045205,28.811750002990415,696466.4558333326,3188793.3515715776,219116.64694953273,46.35912890588999,0.1269351781173827,0.1802863484490765,0.013248494260893,-0.3253702916549802,0.0811846410660994,0.0,0.0105704483164457
6189,77.01775000045305,28.811750002990326,696905.6938620373,3188800.801094091,219117.5814204296,47.92594298638554,0.0954427221320452,0.186205942932029,0.0844231089597288,-0.3446226007552222,0.1308897346055294,0.0,0.0
6190,77.02225000045405,28.81175000299023,697344.9325458398,3188808.2672742037,219118.51798212802,47.82640123652291,0.0797116108635525,0.1880502471910057,0.1084468149588501,-0.336186287662681,0.1463520016497772,0.0,0.0
6191,77.02675000045505,28.811750002990134,697784.1718862009,3188815.750112083,219119.456634979,48.14456006838339,0.0779850104343407,0.1878013883855235,0.1132515694130544,-0.3377389129556026,0.1499120027628536,0.0,0.0
6192,77.03125000045607,28.811750002990035,698223.4118845818,3188823.2496078964,219120.3973789321,46.52159525738348,0.109171121796829,0.1820023917614927,0.0550190623787061,-0.3347859977325222,0.1102083046815209,0.0,0.0
6193,77.03575000045707,28.81175000298995,698662.6525424427,3188830.7657618145,219121.3402137771,42.25770948102424,0.1587214974226092,0.1609359540418798,-0.0623263836506959,-0.3121025305282622,0.0231836592009047,0.0,0.0120845930076153
6194,77.04025000045807,28.81175000298986,699101.8938612447,3188838.2985740053,219122.285139473,44.08885368522569,0.1362715762866747,0.1558459671948164,-0.0039049758121273,-0.3392840898262362,0.0659755903387006,0.0,0.0055331675093258
6195,77.04475000045908,28.811750002989765,699541.1358424479,3188845.848044637,219123.23215545752,44.737235527995935,0.1692226186793064,0.1597569628642908,-0.0466781311503649,-0.3500392819452598,0.0268737141588519,0.0,0.0041923839185933
6196,77.04925000046008,28.811750002989676,699980.3784875136,3188853.414173881,219124.18126390025,45.76265986107923,0.149079674248658,0.1637622926914356,-0.0189006826176008,-0.3451789521311147,0.0546426453127821,0.0,0.0015009868674843
6197,77.05375000046108,28.81175000298958,700419.6217979029,3188860.9969619066,219125.13246312249,48.12093435661378,0.1260361548736621,0.1659777552190854,0.0168606135600182,-0.3380064250385703,0.0862488054460656,0.0,0.0292498096218181
6198,77.05825000046208,28.811750002989474,700858.8657750764,3188868.5964088836,219126.08575343344,43.472910431241225,0.1228841197527517,0.1530705415113825,-0.0498675935497762,-0.2574586364937178,0.0462734517001765,0.0,0.0162126717981291
6199,77.0627500004631,28.811750002989392,701298.1104204947,3188876.2125149844,219127.0411348961,45.737610356595226,0.0944511946384289,0.1887268838642975,0.0266796257299373,-0.2814433046885921,0.1030921259205554,0.0,0.0393820248048273
6200,77.0672500004641,28.811750002989296,701737.355735618,3188883.84528038,219127.99860751873,48.98163296357079,0.1123257648773251,0.179072694009346,0.0610967705926324,-0.3599096645431608,0.1187163089194325,0.0,0.0109085213706053
6201,77.0717500004651,28.811750002989193,702176.6017219078,3188891.4947052407,219128.9581711184,48.19380489790098,0.0994391765489727,0.1830290477023034,0.0471441787027959,-0.3115962996337338,0.1133036282628942,0.0,0.026437560883804
6202,77.07625000046612,28.811750002989097,702615.8483808246,3188899.16078974,219129.91982620957,47.83661827636909,0.1241048438527179,0.1734127081443569,0.0301480201215666,-0.3428126265952385,0.0945958469960547,0.0,0.0230625578495421
6203,77.0807500004671,28.811750002989005,703055.0957138281,3188906.843534048,219130.88357179434,47.00161569419027,0.1456883559171447,0.1724591491715609,0.0148308510726226,-0.3678637087419009,0.0805688688520767,0.0,0.0104297964660013
6204,77.08525000046811,28.811750002988912,703494.3437223805,3188914.542938342,219131.8494100058,46.241178741616906,0.1533001612069912,0.1665705599710507,-0.000510834990499,-0.3678761592806854,0.0668551818805334,0.0,0.0071971191936435
6205,77.08975000046911,28.811750002988806,703933.5924079423,3188922.2590027894,219132.8173393517,44.59166173532318,0.138856894361719,0.1642187617435866,-0.0112982471288513,-0.3283779653103607,0.0636359822159096,0.0006901215511545,0.0467730280294581
6206,77.09425000047013,28.811750002988717,704372.8417719739,3188929.991727568,219133.7873598829,46.62218507644525,0.0902875394472428,0.1611134479523904,0.0342399016638257,-0.2881410992341245,0.104682623898351,0.0,0.105195919753685
6207,77.09875000047113,28.81175000298862,704812.0918159361,3188937.7411128497,219134.7594717226,47.839913112027936,0.1240176533037733,0.1907116834259728,0.0427356290483864,-0.3506854458239886,0.1021778123146108,0.0,0.0074005294291483
6208,77.10325000047213,28.81175000298854,705251.3425412897,3188945.5071588107,219135.73367550955,47.55204582091071,0.1240134806210715,0.1882913281514643,0.0210695301082548,-0.3307940131069407,0.0902355672617276,0.0,0.0063459738247752
6209,77.10775000047313,28.811750002988425,705690.5939494951,3188953.2898656223,219136.70997045614,47.75949686195351,0.1566470928088541,0.1571527136280355,-0.0206847572700398,-0.3548234239207342,0.04741930488759,0.0,0.0129740717688217
6210,77.11225000047415,28.811750002988322,706129.8460420134,3188961.089233462,219137.6883567535,50.535201824846666,0.1232112076514585,0.1712685336305118,0.0584819830599648,-0.369154567594825,0.106721708398028,0.0,0.0120329506620594
6211,77.11675000047515,28.81175000298822,706569.0988203046,3188968.905262504,219138.66883419003,49.77937426710233,0.1295914913160133,0.1660203681545516,0.0362508306538829,-0.3590783691472052,0.0904888763742294,0.0,0.0151700226798467
6212,77.12125000047615,28.811750002988123,707008.3522858296,3188976.737952925,219139.65140439116,49.82038913259658,0.1216644307599432,0.1817484877869132,0.0516619415840971,-0.3538434516659966,0.1049848693376353,0.0,0.0
6213,77.12575000047714,28.811750002988024,707447.6064400504,3188984.5873048995,219140.63606548673,47.09475405717859,0.1615599952502302,0.172154860878496,-0.0099092797059239,-0.364044724538029,0.0500290499951929,0.0,0.0
6214,77.13025000047816,28.811750002987928,707886.8612844268,3188992.4533186066,219141.62281808414,46.599282729602194,0.1218399528953257,0.1754410490433175,0.0181836632819757,-0.3223508932629302,0.0798280034137031,0.0,0.0056945992970269
6215,77.13475000047916,28.811750002987832,708326.1168204193,3189000.3359942217,219142.6116627007,47.98410958017551,0.0868380959787038,0.1779582388404465,0.0457431694373053,-0.2830328174379238,0.1052649189839163,0.0,0.0256662165508957
6216,77.13925000048017,28.811750002987736,708765.373049489,3189008.2353319223,219143.60259905463,47.30480378969914,0.092995942737629,0.1774552732633905,0.0334183065098311,-0.2799978434397373,0.0938967886605381,0.0,0.0371743716475322
6217,77.14375000048118,28.81175000298764,709204.6299730964,3189016.1513318857,219144.5956268846,48.92186843744168,0.0932150173159908,0.205548278109728,0.0705936343773946,-0.2976136413209833,0.104939383438778,0.1208255164668446,0.0057427666707491
6218,77.14825000048218,28.811750002987548,709643.8875927022,3189024.0839942894,219145.59074667926,47.58314126546616,0.1284327811494089,0.189832219128065,0.0377310577358801,-0.3477152231648674,0.0843231339836158,0.0023228318086187,0.0
6219,77.15275000048318,28.811750002987445,710083.1459097664,3189032.0333193126,219146.58795787615,47.349571485008255,0.1305755785341366,0.1978459578995488,0.0598479846303101,-0.3467003008153869,0.0798477130796188,0.0,0.0003500562803787
6220,77.15725000048418,28.811750002987342,710522.4049257505,3189039.9993071337,219147.58726186838,45.43839950883814,0.1408657103396703,0.1838908846533184,0.0073692053127828,-0.3359897547057645,0.0660259546271917,0.0,0.0085808371847226
6221,77.16175000048518,28.811750002987242,710961.6646421157,3189047.9819579315,219148.58865693264,46.12110415569561,0.1370251691897422,0.191598691390639,0.0169202960445134,-0.3483746989184859,0.0779910742135844,0.0,0.0007043967181948
6222,77.1662500004862,28.81175000298714,711400.9250603222,3189055.9812718867,219149.5921440348,45.25530435706393,0.1396835587348913,0.1956518037440865,0.0016908302502733,-0.3355029470348921,0.0707775286838892,0.0,0.0011505891539647
6223,77.17075000048719,28.81175000298705,711840.1861818305,3189063.997249179,219150.59772309568,43.55061013281527,0.1414379839333212,0.1695081289420214,-0.0125036793882606,-0.3261857275583124,0.0555274870248277,0.0,0.0068588638474496
6224,77.1752500004882,28.81175000298694,712279.4480081018,3189072.029889988,219151.6053943401,43.78112038658647,0.1511020769676985,0.1663736252684283,-0.032345582904019,-0.323907909250456,0.0402137185935996,0.0,0.0047104752218198
6225,77.17975000048921,28.81175000298685,712718.7105405958,3189080.0791944936,219152.6151574896,45.139388521262426,0.1108333710432987,0.1712457877044336,0.0116520696640763,-0.2944171166020654,0.0773005373194413,0.0,0.0
6226,77.18425000049022,28.811750002986745,713157.9737807743,3189088.145162877,219153.62701259772,45.58708432046809,0.0940070346075848,0.1760893398373459,0.045998771902797,-0.2945497603033155,0.1019080691235456,0.0,0.0
6227,77.18875000049123,28.811750002986635,713597.2377300967,3189096.227795322,219154.6409592838,44.149999534145806,0.1012436103418385,0.1586312409707858,-0.02862154854639,-0.234854717447062,0.055577996224694,0.0,0.0049429776103253
6228,77.19325000049221,28.811750002986535,714036.5023900247,3189104.3270920063,219155.65699912893,42.70238146425028,0.1137636475905513,0.1555262386126084,-0.0217723714472586,-0.2689537468605272,0.0585414561716189,0.0,0.00374134503565
6229,77.19775000049322,28.81175000298644,714475.7677620192,3189112.4430531166,219156.6751306784,45.16853487113828,0.1141002934038099,0.1675588248733492,0.0072474631817074,-0.2996284142229308,0.0762042759458513,0.0,0.002698309655039
6230,77.21585377594101,28.812656739503094,716241.0924150487,3189245.7587993448,130010.48666545429,46.63310930230397,0.0955448728037791,0.1912517910415081,0.052834798550059,-0.2914608187113507,0.1053355863460692,0.0,0.0
6231,76.95083034857724,28.815719667114934,690366.6149616599,3189131.667034914,136446.02093473152,50.39583379681783,0.0882427014276612,0.1951560197279756,0.082974667037185,-0.3429129902176712,0.142252112175927,0.0,0.0
6232,76.95458080042386,28.81559760676534,690732.8918693599,3189124.1554200323,152972.74652782228,48.99677879955565,0.1020437450959493,0.192186467743282,0.0632532037619829,-0.3452411055016571,0.1259901590292875,0.0,0.0
6233,76.96419167491388,28.815956824882488,691670.2846587972,3189179.433268695,167466.11105453438,49.04820786843561,0.1067921777593533,0.190458493772603,0.0568007066223997,-0.3413346490922078,0.1164962284049947,0.0,0.0035841280952612
