cell_id,elevation
324,273.6628644566027
325,271.02222753682287
326,267.44866134203284
327,265.4616520626169
328,261.884444944642
329,260.76891051787663
330,259.4012290125713
331,259.0790214118902
332,260.0970772736221
333,261.38816862590704
334,260.58308480108013
335,264.84374120956375
336,266.1861325158896
337,269.19452181986975
338,270.6620861346309
339,273.07093026526775
340,278.7310754170296
341,274.9842332522256
342,279.2689208005737
343,273.3884669479606
344,268.91338837395756
345,268.95134952671617
346,268.68058622484125
347,267.36486191066075
348,280.43811861106576
349,285.43853703807855
350,284.4989310529127
351,276.59698385009256
352,272.65076284890637
353,271.39785369695744
354,270.02907868266635
355,266.1071503902128
356,263.2035190368359
357,261.45862524971125
358,261.50169481989883
359,259.76498959446525
360,258.12481183968
361,262.39265520830395
362,260.88174084229746
363,261.2445204130438
364,264.4137552742611
365,266.2264360542782
366,268.7155156647857
367,269.5699658223039
368,273.85970069481533
369,274.1969620253162
370,261.4253143548339
371,267.19230931517995
372,265.00623066104026
373,252.4440568784368
374,255.44562434948912
375,266.68493670886033
376,261.8788995471037
377,256.4931292985834
378,252.16400416738995
379,278.5198897591291
380,281.3792545710265
381,275.5625175848288
382,273.2366134203271
383,270.83642756680683
384,268.97577513927126
385,265.58848922886534
386,262.5771308016876
387,259.78826458837375
388,260.53584438599665
389,260.4354918090414
390,258.80988956882567
391,259.46657477601616
392,261.46218853703795
393,263.01582612365405
394,263.29101675129
395,263.7283452387645
396,264.95489906449967
397,269.58071729957766
398,267.6615986160138
399,253.16940928270006
400,248.54859353023875
401,254.5045499936705
402,249.38846694796018
403,244.41504099916997
404,252.86535864978856
405,252.64236286919805
406,256.56030323914507
407,253.2590014064695
408,253.86219603099767
409,261.0851527457446
410,264.5855752119753
411,202.05794363316107
412,199.54627272727262
413,268.2521668588018
414,278.0577785904166
415,275.04791514264843
416,270.59741830249203
417,269.6097272816779
418,267.2492860458902
419,266.7682312906042
420,261.59038805046526
421,258.76282655487273
422,260.9880165405499
423,261.5932139040446
424,258.7828203252495
425,258.9087034797045
426,259.2864374604518
427,261.49008187726884
428,264.30597203859486
429,264.78734444210113
430,264.9138178441803
431,267.6011055007808
432,259.44450695509113
433,246.1827988748243
434,242.92814244926103
435,245.0364702738439
436,241.098554108414
437,244.76143124375886
438,244.29181845033025
439,248.85018284106908
440,249.61411552905145
441,246.9228540485804
442,254.61600562587927
443,256.5119199988752
444,261.5747278404458
445,261.99663768605285
446,258.13954276515534
447,213.29254151143584
448,211.77055065581152
449,207.70562587904405
450,204.2326058833458
451,200.61006147742793
452,200.8187912846298
453,254.79586203466548
454,265.65063305692513
455,276.8339756392586
456,274.415998424355
457,270.37280461224816
458,267.76926539051203
459,267.4474143267121
460,266.9160374042048
461,266.0060197752433
462,264.86522797293316
463,262.98209538812097
464,261.3771496871266
465,259.3557018654513
466,260.3306938212915
467,260.3482479329549
468,263.9774348297061
469,265.0597063208531
470,266.73787527244633
471,267.12243433732397
472,258.4575169833614
473,246.72775988410558
474,243.27180028129408
475,240.81390475118866
476,241.1062055191427
477,239.52279887482422
478,242.12925638897894
479,242.80585951784894
480,243.21358950196208
481,242.7951898734179
482,243.17257626689567
483,246.3493157428377
484,251.4774958507979
485,256.9639089707167
486,255.86562187864897
487,256.40154114404663
488,240.518924316798
489,230.60719768036816
490,223.06041695007494
491,213.72005988023963
492,213.03922814720661
493,209.27193562455162
494,204.14952180028158
495,205.69088096744724
496,202.9759010720014
497,200.58209794930966
498,200.3727034120734
499,247.87348982404933
500,252.03417345444714
501,254.80926449688315
502,260.63817667824645
503,275.8001744464142
504,275.3698341002153
505,270.74970464135055
506,267.3683581165679
507,264.4383249373818
508,263.4908369783832
509,266.15249778428034
510,263.67719194562846
511,264.99653925692485
512,264.2523171263413
513,264.1184532687921
514,261.55366261975433
515,260.89641350210974
516,263.71730901825026
517,262.3623088502174
518,265.0095780590719
519,259.1742978555749
520,247.95910357052443
521,242.09712452872643
522,240.96997917956207
523,238.4231954194393
524,238.39526181030365
525,239.6755574312442
526,240.23797867251912
527,239.7537385872854
528,239.74642676270332
529,238.68402172078126
530,238.62373033960776
531,242.27021171836535
532,244.88478419897595
533,246.79639008469127
534,249.84140541453252
535,246.2866526019693
536,243.3026321342659
537,230.14219176540104
538,224.99561187606375
539,222.55433161700574
540,219.69023597450283
541,215.79476793248946
542,215.5024618760903
543,212.53372920946705
544,209.29888582522096
545,205.01893108298185
546,203.3934737641944
547,201.31328165665494
548,201.11988748241922
549,201.12011918910076
550,213.5967730694174
551,213.87344407094326
552,212.82895550930868
553,211.0968763495033
554,211.05366327715745
555,242.06930423908523
556,246.02340518027174
557,249.71026210698014
558,253.75625395486193
559,255.1382559774963
560,256.5644515049697
561,273.33037572416913
562,275.8434036568212
563,270.93554146574627
564,267.96916305753984
565,264.63553255228464
566,263.532138338254
567,265.6570765661253
568,264.88060646123114
569,265.6636996414259
570,264.91917615633355
571,264.5728470766936
572,263.54638261970047
573,259.83512111456326
574,257.2281715893108
575,256.7525732605883
576,258.81954422122584
577,249.67459915611803
578,244.33668002531118
579,241.60536306878905
580,238.31301939058164
581,236.53756591436408
582,236.49151374534205
583,235.90623769615829
584,237.27130703789643
585,236.0922449553541
586,235.93800269981435
587,235.02926205073408
588,235.32944286638354
589,236.47893582316215
590,238.04163620001123
591,237.32543064051197
592,235.06306610407864
593,234.0449030661738
594,228.25677765903598
595,229.87676511954987
596,225.0369735140304
597,218.64992406772035
598,217.77955303019638
599,214.15730131728793
600,212.65170988244563
601,213.48528150096328
602,212.4815934529502
603,207.92336566849437
604,203.69201558346572
605,204.89896788345806
606,203.16912457297104
607,200.91583566576173
608,213.44327429392075
609,214.25616532785585
610,212.75881178092177
611,213.0802061616865
612,212.89857486953025
613,211.15728661275838
614,210.61892594196638
615,210.98745244452851
616,210.22065907287777
617,210.66235812036703
618,211.14184447038625
619,211.82954992967615
620,212.56140167364018
621,242.496889723204
622,248.1110704791908
623,247.19510822937005
624,251.29351036597356
625,256.154551721227
626,258.28340012655536
627,269.1067103616083
628,277.96041247555644
629,271.8692259017082
630,268.6509606458689
631,266.84145294936854
632,264.8821924742674
633,267.2458403071773
634,270.56970020961353
635,268.7322606506418
636,268.66016086394035
637,264.61198880182275
638,263.6006132294404
639,261.49135906630084
640,248.64464077205483
641,248.82442791037823
642,251.5580397946986
643,247.0753766723404
644,241.3207921349103
645,237.1698360010125
646,235.78807015569814
647,233.210062167712
648,234.60974992264167
649,232.93251663173862
650,234.04856676699757
651,233.95992911292686
652,236.55225811896068
653,236.74060113363035
654,237.1387361284967
655,236.29036568213755
656,240.05599234869663
657,240.2750428985342
658,238.21791426923406
659,239.55260419596144
660,236.75091070197865
661,236.9366374519924
662,231.15013499071924
663,218.03012700600553
664,214.41984722085422
665,214.77248439169804
666,211.02542933093272
667,210.385985397352
668,210.8445525893836
669,204.41695844758468
670,206.3711910188231
671,206.45134884244248
672,206.58486957744483
673,203.6106468585574
674,200.18765442617354
675,213.11191433541495
676,213.552705991587
677,213.33548995063205
678,212.11576399735424
679,211.49024254878725
680,211.50338020354238
681,210.61788171725235
682,211.36224360597598
683,212.34645414515415
684,212.72404867412217
685,211.46926832013273
686,210.83476829577089
687,211.03070971372276
688,211.69905603308783
689,211.63718469957644
690,211.15906533115717
691,211.754846515292
692,211.98852067164395
693,213.516021831413
694,225.63095757320536
695,223.82522900436584
696,225.62074546182595
697,239.57510020783852
698,243.89978399910214
699,245.08106016909784
700,247.47530351842167
701,251.54444803961522
702,254.90783345293832
703,261.339221670581
704,272.45973664218764
705,278.3176016998039
706,273.8096202531645
707,270.8310683436029
708,269.1085891987726
709,267.7578655715106
710,269.70735618924317
711,272.47832327240445
712,273.4582530281499
713,270.59310257528233
714,265.26283647825227
715,264.49547711829797
716,262.02603338912223
717,248.42682858188098
718,243.30840003939042
719,243.93734265340814
720,244.03287038991323
721,239.1203944684379
722,235.02952927604713
723,232.6037419990148
724,232.177229436011
725,230.59856787136138
726,231.47748406792005
727,233.15916828451608
728,233.36166171939803
729,236.0791728212699
730,238.9542365966543
731,241.42972904532743
732,240.41997608496834
733,242.01328024984832
734,243.46944374103128
735,239.8754133423385
736,237.12123769338928
737,231.1701954053709
738,227.190904357859
739,226.19738119013772
740,216.7564362285808
741,215.75704616770045
742,213.53285513361445
743,210.5677025449121
744,208.67935891482648
745,207.63044089924293
746,207.56909185524785
747,209.16305739654086
748,210.7502356400261
749,211.37633440695362
750,206.10645034193516
751,199.15123165876494
752,198.55844821162444
753,213.22541326739247
754,213.27106417683817
755,213.26726367879473
756,213.13348616756463
757,212.34036419883324
758,212.1850951062128
759,211.83372948341116
760,214.13977164070005
761,213.39760103495826
762,211.637957702908
763,211.89142937495652
764,211.8717851367507
765,211.88480791945582
766,210.93007101174177
767,211.39649305360282
768,211.68988694527275
769,212.2240986557178
770,215.06921086675328
771,211.4142698414933
772,214.0405459163378
773,214.03916902495487
774,214.24557506572415
775,214.50968150179318
776,213.18044431816148
777,213.04029560482306
778,214.92961859956563
779,213.92068917018292
780,212.96602163377133
781,220.80027049928322
782,220.74559516276486
783,223.13795672772812
784,223.30322081575267
785,225.39820569789399
786,228.83851622874786
787,229.5412555758201
788,231.0075703202434
789,232.8008577655913
790,235.5408065695486
791,238.12434788722533
792,242.12493672310077
793,244.53308678778362
794,247.49884695427212
795,249.40734595157102
796,248.03153305203978
797,253.66750080836803
798,265.5248541095412
799,275.66751054852335
800,274.3171894110871
801,271.65169582091255
802,268.4959845853084
803,267.65228943779823
804,269.8810377557482
805,273.2110940774394
806,271.72173240525933
807,269.6903740984947
808,268.01829842895137
809,270.5740420445761
810,261.65508709282926
811,249.71848101265843
812,245.81908176896638
813,243.19175886744213
814,239.64398936693914
815,237.61758254120062
816,234.0094776066938
817,231.38463918105663
818,230.9890459115521
819,228.00492160585003
820,230.27329996062784
821,232.93725743855157
822,234.4551641707098
823,238.0501574891728
824,245.21077128594564
825,248.51952471349261
826,243.15667360368997
827,239.49509238687205
828,234.56601889870112
829,229.47907905655353
830,225.4167803067583
831,222.92229487449936
832,220.03066060955572
833,220.99125557070798
834,216.16589796951484
835,215.33408346108956
836,210.05253686859487
837,207.510258032764
838,207.84011251758093
839,207.53911270477428
840,208.40851386877765
841,208.10772000393825
842,206.92578322740337
843,205.60755507444043
844,200.5394298251784
845,197.9096687102765
846,195.44110379920247
847,212.5478000996182
848,213.6045327293446
849,213.6289258639362
850,213.84646211822962
851,215.60520799628597
852,213.44088441306394
853,213.14451037741168
854,214.15718244868674
855,213.95126445188353
856,212.40958381974448
857,212.1338537271449
858,212.47638470843088
859,212.88092659531094
860,212.98578059071738
861,211.80446707361688
862,211.17292788928137
863,214.2921460519283
864,213.65649305897438
865,213.72190888760753
866,212.7565206381363
867,214.40573148096087
868,214.79178328809147
869,212.91844630145465
870,213.85901906743933
871,213.53006371397643
872,213.37773275934845
873,213.7824790831752
874,213.60268924582996
875,213.69035209472284
876,213.01396836750936
877,219.51417224179104
878,218.98829553767376
879,220.0162311176125
880,221.93112661004577
881,223.8793804425813
882,224.90967397113863
883,227.93324800630126
884,228.99094220734477
885,231.6873611072043
886,232.78272549543604
887,234.08651317177453
888,236.54294072969734
889,239.45509782134792
890,240.85499092814248
891,244.7362128862574
892,246.1655578840772
893,248.07204355533057
894,249.73956268016616
895,256.5979408993097
896,265.56914549393656
897,273.76625513245995
898,271.42182027876646
899,268.178891983906
900,271.05467124135237
901,272.34321640552497
902,273.27045847811723
903,271.4082617195743
904,264.46252495992377
905,266.95669850737875
906,268.13393999915615
907,261.75948815299176
908,255.0341291166665
909,244.2277669165531
910,242.50831036616265
911,238.64440161501344
912,233.23730625334068
913,232.80981448402957
914,231.3615752461323
915,231.1357844102508
916,230.86892923951132
917,228.85967651195503
918,230.9400123772822
919,235.42921841376122
920,238.89461322081587
921,246.38105150637162
922,244.39349357937553
923,238.07994486561014
924,235.46442284701635
925,232.2403375527428
926,226.04212036802576
927,221.13087069014017
928,218.71631105922737
929,216.35591288933912
930,213.87776309128762
931,213.0900434605271
932,210.18868349230468
933,207.81004274706132
934,206.76090747981675
935,205.73204563679087
936,208.30238118679617
937,206.64547563805127
938,199.9712167466202
939,199.59483255742012
940,199.66329185122692
941,198.93206521739114
942,214.69348550765585
943,213.8428129395217
944,213.15398362085926
945,213.69962859795723
946,213.13060478199714
947,213.22521001308615
948,214.38348128244448
