cell_id,building_density,road_density
401,0.0052758173778877865,0.0003012708848321397
402,0.01229676341988654,0.009211095511694594
403,0.10861276991038231,0.018549128848378393
404,0.045757278078753634,0.00784583016623585
405,0.0,0.0
406,0.0,0.0
407,0.0,0.005841184212522577
408,0.0,0.0001351537308366855
409,0.0,0.0
410,0.0,0.0
411,0.09546281491217433,0.055684565012619695
412,0.06143194251718499,0.06769943015654742
413,0.0,0.0
414,0.014149388712652823,0.010452967555786206
415,0.05401751723472801,0.01431046751582115
416,0.06073139664054218,0.03116179759099602
417,0.09143878385431677,0.02575628799135722
418,0.1173656920371094,0.02625370719865315
419,0.044681937418139105,0.011780551614490996
420,0.0520209115026108,0.010682349890773442
421,0.07918662274001816,0.029651849680205154
422,0.17864844482680053,0.03500253829893532
423,0.0842822264582299,0.005817522271215076
424,0.05139463406369257,0.0011162903192511644
425,0.04446132749019511,0.0024492361284691342
426,0.08146142024678538,0.02952116025440762
427,0.0644897464152467,0.017567056139063186
428,0.019282706670443545,0.025355151340105103
429,0.022811492241992363,0.02476166633809742
430,0.0,0.0
431,0.03427626343387137,0.0
432,0.037145971203535987,0.0
433,0.007026305176543052,0.004579438725984826
434,0.03267011805331402,0.013258097402711505
435,0.06756609195518704,0.010916409194651141
436,0.018093945776178372,0.024961438952795404
437,0.12002672463543614,0.05631013216614243
438,0.2526607347502545,0.04237334771121337
439,0.12204581236933049,0.0495720037862643
440,0.0,0.05439248170541091
441,0.006580797936101942,0.07842121164104576
442,0.0,0.0057205860359478295
443,0.0,0.0
444,0.0,0.0
445,0.004602622935246715,0.00012770617421922956
446,3.375164559326387e-06,0.005031718572398772
447,0.31812110468274857,0.021900091594582727
448,0.127084071475644,0.05334003195130346
449,0.13436015239686136,0.08143075251857018
450,0.07619931633952855,0.06709253701513729
451,0.09221965993263001,0.06878446103418855
452,0.011655952950520385,0.07432830025960578
453,0.0,0.0
454,0.0,0.0
455,0.022060731607903585,0.015043987969513672
456,0.046197438960762595,0.011977815513096271
457,0.052482372372817054,0.011336804587135317
458,0.08701595816043083,0.03080036408236792
459,0.16040095973183569,0.027363655051129542
460,0.047109544978104455,0.019345389901472124
461,0.028240756879828088,0.021349345215861116
462,0.054331445278998636,0.024815937732494762
463,0.23205979285372572,0.030844637651957656
464,0.1095082745219747,0.01939164614612034
465,0.053026460461685083,0.002032730295194678
466,0.003865924294389283,0.0
467,0.0823342609371844,0.03436710591361614
468,0.12976210724714313,0.03144043733294538
469,0.09532297637979442,0.0337688951533164
470,0.09711741816865611,0.03901367939202148
471,0.06368523370362977,0.023910660722931097
472,0.052408299081616525,0.0034863714938424164
473,0.030469361066823256,0.01646724288496396
474,0.04660518305828635,0.014570385426713798
475,0.12669223207113725,0.025583583652326117
476,0.06447988539559377,0.017713067307223423
477,0.11614290322154483,0.05585661471082344
478,0.31247544236968205,0.060344647444514024
479,0.40880842456195376,0.05700246865965437
480,0.11413004513299971,0.07300014746838868
481,0.0027698038601892926,0.07769173232281859
482,0.03174036360370195,0.07937413633570083
483,0.0005639124356271107,0.0716555846618029
484,0.002457687137546799,0.008631213270679
485,0.0,0.0
486,0.028377726313977388,0.006523905938504238
487,0.003768283883761443,0.0
488,0.0,0.0
489,0.0036829311224103375,0.01858880494282105
490,0.013664662740691261,0.03895460796819945
491,0.12084062146513352,0.07953033311487864
492,0.0744322138199676,0.02673219721588208
493,0.04348624729603776,0.03955864779850568
494,0.055593541150532326,0.04161374499529522
495,0.04992485942895205,0.049111875173364884
496,0.07420250979388011,0.05892371966179834
497,0.03624095228059344,0.0713421068690371
498,0.014831502033332463,0.05910177667003819
499,0.0,0.000868076452968959
500,0.0,0.0
501,0.0,0.0029854648420470542
502,0.0,0.010465923175426177
503,0.0062117002774213425,0.003888739788013953
504,0.010400142019728758,0.004283025766319443
505,0.024945236303645753,0.01125395705626917
506,0.0017394300875866531,0.00883675585596029
507,0.007030613153775069,0.004268227830203202
508,0.0074706937059578,0.004261292165122412
509,0.02116848772488514,0.012369986034738309
510,0.01297488278574504,0.007925611175139912
511,0.032704684771530594,0.012547555699214619
512,0.082615049954176,0.025939072397089986
513,0.11068044058701139,0.020554842165988393
514,0.0027046760938531406,0.0006068914658659539
515,0.20219523051343843,0.012491409855284017
516,0.26429600935179054,0.02710809255477827
517,0.27699959459825624,0.05003198585298259
518,0.16442980404745444,0.0337917767546815
519,0.17479383065930212,0.03298523197118477
520,0.17959529808100355,0.0248187721427848
521,0.0864538722726009,0.017984368656124464
522,0.16560548914325474,0.02170091333611474
523,0.281260304922845,0.026681609253522497
524,0.15082196254525465,0.02289868785182389
525,0.26671292800523805,0.04529178725878217
526,0.11727207439932535,0.047557751418614125
527,0.21082255237799255,0.04260680069928378
528,0.0037373116322113147,0.06342293795511851
529,0.012449244095551329,0.06953162391392739
530,0.05227381372983184,0.06429070379183204
531,0.008648052741257347,0.06984858083870649
532,0.0,0.022786561300664053
533,0.0,0.002725794996526135
534,0.043661451853269334,0.003174798223389497
535,0.010434298641610707,0.0
536,0.0,0.0
537,0.002767644492513869,0.017134300332090773
538,0.04269822783787366,0.045278648391692246
539,0.09904185882014437,0.051378004883991045
