cell_id,population
301,2012.264577738444
302,1980.243310247683
303,1868.5749167648016
304,1804.5842120600682
305,2007.3383005777996
306,2148.665405093923
307,2286.338069152832
308,2086.1905660591874
309,1780.6527411816164
310,1190.403460783117
311,973.4571615480909
312,547.8212765375774
313,360.14469752218207
314,330.0607549816954
315,321.47894247092455
316,333.1414223128673
317,336.4331548391604
318,288.30218550738164
319,1767.5226640289907
320,2197.956774453556
321,2349.4098568486233
322,3293.559903702081
323,2882.656641073788
324,1961.614503823075
325,1652.9935327567302
326,1683.9912515827257
327,2335.389223345588
328,2337.1844976387774
329,2053.359619918524
330,1948.9845289940924
331,2004.8163691202803
332,1959.3760032803405
333,2152.8507621017156
334,2165.9741817399563
335,2145.3902133717256
336,1945.4728576959346
337,1624.3863601684568
338,1004.5956057081037
339,859.0709381926295
340,527.1092136607451
341,380.17705846674306
342,357.32687934426696
343,365.74989300522145
344,401.40693661932846
345,408.50295148363296
346,392.99174912770593
347,353.509125773112
348,1008.2008437885959
349,1773.0279657102103
350,2000.6300870558796
351,2137.1015189675722
352,2156.791629237755
353,1786.9291178834203
354,1491.6277202680997
355,1578.8503274207023
356,1929.2496886608649
357,2066.4707527310243
358,1917.5164142085061
359,2142.011045747645
360,1995.693501850203
361,2020.6120947445143
362,2205.6663712146237
363,2354.9309974820003
364,3165.2450417911305
365,2336.018888944738
366,1525.4577965979486
367,989.3201830845254
368,635.3709237229589
369,457.3489333882052
370,445.2630219104243
371,461.0439480875052
372,516.7287164538513
373,720.2121823853139
374,712.5477547963463
375,538.1161623113296
376,509.7831287683225
377,508.89340687546076
378,377.5506179659975
379,354.22721141366395
380,532.2100978776521
381,832.294322084913
382,950.4384181901524
383,1385.731371008181
384,1971.3333605298806
385,2223.187860675886
386,2166.258374023437
387,2199.023167000565
388,2277.5264570946783
389,2948.4067449233116
390,2162.1045290180277
391,2267.9692715513943
392,2472.529634094238
393,2606.677488888012
394,3634.8930108762247
395,3074.812294365378
396,1688.3166682673436
397,977.6144022548901
398,840.1540408265357
399,663.0750964594822
400,591.6483141581217
401,762.2570283403584
402,1337.4516282100305
403,1883.2187463049793
404,1846.3729838277777
405,1654.6648402793733
406,1830.9548141030705
407,1769.8309304704856
408,1237.246505512911
409,641.2439974317364
410,296.052375198813
411,4630.206956571691
412,2700.760957067153
413,254.8179155069239
414,656.0231792973537
415,909.9498002893783
416,1046.226070613487
417,1397.0165644776587
418,1480.4213539123537
419,1848.93535341749
420,2429.129769119562
421,2435.2685064876778
422,3067.241835769953
423,3160.2669636445894
424,2297.9957732555913
425,2573.7550788430603
426,3826.563042434992
427,3972.0540958479337
428,3768.245333563113
429,2500.2865147609336
430,1817.4227679682713
431,1597.521315630744
432,1212.6739113901176
433,1484.4100354512534
434,1566.8200262929877
435,1658.6119684107164
436,2590.8042864032823
437,4850.467102559408
438,3945.9226968503467
439,4102.930842739928
440,4202.3375618429745
441,3946.6851822198614
442,2165.880973292332
443,1331.55862642176
444,818.4029186473174
445,605.0018962897507
446,821.5951013976453
447,2595.730424708946
448,4813.156490729836
449,6266.522980215036
450,5704.2276626886105
451,5291.011839982575
452,6455.882745540843
453,149.49175854290235
454,245.1461836328693
455,568.2269279105991
456,825.2533945943796
457,965.3388169681325
458,1215.1957931817747
459,1535.9641981985055
460,1337.73713687074
461,1811.207980974983
462,2530.730281725116
463,3555.929058718214
464,3605.4636668784947
465,2464.0580180448646
466,2397.739185467889
467,3300.4739754471125
468,4339.01345280666
469,4171.820822981292
470,3242.3187670539405
471,1996.750061663459
472,2124.940369011374
473,1905.0947883456358
474,1912.9433993470434
475,2513.8732072718003
476,2635.4868684656476
477,3429.0751604566385
478,4976.644449750114
479,4525.282087049297
480,5145.360043634153
481,5303.721332385493
482,4996.622068277995
483,3377.75552667356
484,1897.9055064033062
485,1376.001014724432
486,914.4063420090021
487,937.9948913424623
488,1370.6957292893355
489,2150.4358007393635
490,2778.195090918447
491,4419.006243956323
492,5252.234873573453
493,4328.001313392789
494,4434.074789129519
495,6445.441898121552
496,6455.439244887407
497,6855.188889447379
498,5168.483245969286
499,550.1314014472213
500,572.6255442077039
501,214.6296480122734
502,186.06594973732444
503,329.77921820060885
504,450.1836171935587
505,494.0937752144009
506,606.8240361344581
507,779.9333989760455
508,852.1889823090796
509,858.4102231268788
510,1125.076330985275
511,1949.3862850114408
512,2955.673723886527
513,2672.957232785692
514,2344.9015173220164
515,3411.9994210935106
516,4560.783163362392
517,3692.3922927258063
518,2979.684206465179
519,3428.24917862836
520,3554.403947059781
521,3033.382005938361
522,3555.409657138001
523,4149.9532319312
524,3970.4368831858924
525,5024.240970865885
526,5776.487176154641
527,3520.3065888049555
528,3948.772863859289
529,4834.780333605
530,5524.846049469593
531,3924.2197854135547
532,2193.960526140999
533,1853.66019225775
534,1506.266590941186
535,1572.495816234514
536,1722.014984445011
537,2195.5500526577816
538,3122.0231459075326
539,4825.34621779498
540,5548.547982309379
541,5628.213634176815
542,5157.50406589882
543,4489.797926599839
544,4583.426602113013
545,6854.935116457472
546,6329.627642523074
547,6593.490697165097
548,6796.877724322151
549,4999.780438591452
550,222.02773223951755
551,253.12926855648263
552,290.46666150186576
553,54.47788936016607
554,92.49527136484781
555,766.1673697677313
556,866.4824729994233
557,638.4845138811597
558,505.8391042784149
559,365.54658601050284
560,275.4240855908861
561,216.54925900253596
562,207.23681134990613
563,230.90081987941969
564,315.82680779999373
565,448.0814236697029
566,594.9057621525783
567,720.1453370113
568,855.7673153596766
569,979.8898327397366
570,1512.1055463753496
571,2458.2532561358285
572,3807.3445626651537
573,4120.917632308661
574,3477.9294451246074
575,2246.0346086389877
576,2202.7612188301837
577,4013.585583615771
578,3230.2306601430855
579,2941.3503234863283
580,3889.215206729664
581,3993.449366969688
582,4101.966299558152
583,4499.790029727711
584,4224.887916445266
585,4004.6608492383766
586,6204.948112039005
587,5663.235706404143
588,5302.143191827513
589,4947.941078455308
590,3426.4305324778843
591,2025.7605313170186
592,1748.6730998918122
593,1917.6403266757145
594,2102.8456880756453
595,2080.3906374164653
596,1928.741596027449
597,3645.2526998482494
598,5727.452864762849
599,5551.101149435604
600,5806.904903935451
601,5353.3248366412
602,5779.170924586876
603,6703.742836507161
604,7082.849788590975
605,7478.655726952646
606,6574.991927442364
607,6821.122937490426
608,125.77068638427585
609,269.76136531829843
610,360.95758449704033
611,389.06191299288884
612,260.8244505526973
613,85.09985838871376
614,44.48423690795899
615,43.35436994328218
616,101.80358540778067
617,163.62423570296343
618,194.01772483002904
619,193.49461158303657
620,169.60703868491976
621,667.0246496911143
622,869.9861066032859
623,865.8726526297776
624,783.3859992831361
625,713.9470311557545
626,567.5121215147132
627,346.20516197728176
628,294.4289898255292
629,331.01843564650596
630,355.5696787815468
631,388.73685508054854
632,647.3665640887093
633,817.6162956088197
634,999.5461798125622
635,1251.3236213833677
636,1819.0837118261002
637,1713.5650806501803
638,3460.0639583812035
639,3084.447963639802
640,2560.8082179350017
641,2027.614460604798
642,1998.5865163765707
643,3596.203176640529
644,3775.142582732555
645,3681.2767369887406
646,4210.538731354358
647,4169.094630402209
648,3941.58641614727
649,4420.77132915422
650,4561.869500493069
651,4825.883778889974
652,5701.127698830996
653,3860.5225246055447
654,4089.697822301528
655,3759.205971093271
656,3543.766757411583
657,2205.854916172402
658,1988.3719847136854
659,2365.1758980545346
660,2214.3962783215097
661,2148.4214042214785
662,2979.6577754899567
663,4267.94694554946
664,5761.0417493633195
665,5983.495554067574
666,5368.462208706725
667,4389.429685944203
668,4127.81569961847
669,5022.839906101601
670,5989.412309295055
671,4720.620622268378
672,3157.363272349039
673,2437.0090766308354
674,3266.061007421157
675,211.71161057060837
676,288.992368888855
677,287.56266284643436
678,338.29454918281704
679,269.00361319897223
680,224.4503179063984
681,216.98466358184817
682,180.34931361254522
683,164.47340625314155
684,187.1151314529718
685,186.63489103878246
686,117.02417949227726
687,183.65742125978653
688,209.6395763154123
689,200.7501981772629
690,238.4423958198697
691,372.46761316411636
692,477.5092103546741
693,461.37956207125796
694,637.9815811157227
695,793.4221804525337
696,836.5168602887322
697,769.5348937090705
698,990.1275184032963
699,1027.5528577168782
700,1377.5743662665873
701,1349.073888083065
702,992.365826146743
703,598.4319150288901
704,355.0231806287578
705,274.37704320421403
706,362.73394927230527
707,387.7953250099631
708,449.9181183758903
709,736.8178405724321
710,911.2238200617771
711,1324.910607251934
712,1745.4983515122358
